Row Labels,Genotype,Range,Row,Rep,Commercial,Average of RM,,,,,BL_DATE,Planting_DATE,Pollen_Date,Silking_Date,Days_Planting_to_BL,Days_Planting_to_Pollen,Days_Pollen_BL,_8_10_23,8_16_23,8_23_23,8_30_23,9_5_23,9_13_23,9_20_23,9_29_23,Weight (lb),Moisture (%),Test Weight (lb/bu),Harvest Sequence,Yield,Moisture_8_22_23,Moisture_8_29_23,Moisture_9_5_23,Moisture_9_12_23,Moisture_9_18_23,Moisture_9_25_23,Moisture_10_2_23,Moisture_10_10_23
621026,W10004_0877 X PH24E,6,45,1,NO,90.95,90.95,0,,10_17_23,10/17/23,5/11/23,7/25/23,7/26/23,159,75,84,0.109363546,0.108241605,0.480881888,0.091859426,0.100974439,0.07381096,0.069250312,0.053914755,24.16,18.1,53.6,56,161.9,64.94023904,58.64811133,45,41.6,38,37.4501992,32.27091633,25
621027,LH244 X 3IIH6_PHP02_0087,6,47,1,NO,95.1,95.1,0,,10_8_23,10/8/23,5/11/23,7/27/23,7/28/23,150,77,73,0.123968266,0.114855538,0.478829621,0.110082671,0.111383935,0.075535122,0.059242309,0.043177096,29.96,16.3,55.2,100,205.2,65.6,59.2,51.49700599,44.2,41.03585657,35.78528827,29.14171657,24.055666
621028,PHGG7 X LH244,6,49,1,,100.105,100.105,0,,,10/25/23,5/11/23,8/1/23,8/2/23,167,82,85,0.136447792,0.12878923,0.6034127,0.129310671,0.137642714,0.098535974,0.093769146,0.084431977,27.61,20.1,53.6,144,180.5,79.84031936,60.4,52.89421158,46.50698603,43.45238095,41.83266932,35.2,35.32934132
621029,PHVA9 X PH24E,6,51,1,NO,100.105,100.105,0,,10_8_23,10/8/23,5/11/23,7/23/23,7/25/23,150,73,77,0.122874096,0.111568298,0.490558885,0.112092998,0.112085675,0.088285644,0.079731892,0.058156087,28.69,18.6,54.1,188,191.1,68.7250996,54.49101796,46.61354582,42.94234592,40.6374502,36.5805169,32.73453094,26.54690619
621030,LH225 X PH24E,6,53,1,NO,90.95,90.95,0,0.047223332,9_29_23,9/29/23,5/11/23,7/25/23,7/26/23,141,75,66,0.150940114,0.122097289,0.567585794,0.13453545,0.118480865,0.098908847,0.084316754,0.047223332,24.29,18.8,56.2,232,161.4,65.2,56.1752988,46.2,40.11976048,38.70333988,36.32734531,32.53493014,28.74251497
621031,DKC26-40RIB,7,53,1,YES,76,76,0,0.039311287,9_20_23,9/20/23,5/11/23,7/15/23,7/22/23,132,65,67,0.106686582,0.092922574,0.405431329,0.087993847,0.069071675,0.055002918,0.039311287,0.021514435,19.73,17.9,59.3,234,132.5,46.70658683,40.95427435,39.84063745,29.08366534,25.04970179,22.86282306,17.8,15.90457256
621032,LH202 X PHP02,7,51,1,NO,100.105,100.105,0,,10_17_23,10/17/23,5/11/23,7/22/23,7/24/23,159,72,87,0.113456434,0.098830779,0.435382671,0.09301406,0.09311763,0.071351435,0.058959538,0.04609544,24.36,19.3,55.9,190,160.9,65.66866267,52.69461078,45,40.55666004,38.96620278,37.6,32.8,29.28286853
621033,LH146Ht X PH24E,7,49,1,NO,90.95,90.95,0,0.041964787,9_29_23,9/29/23,5/11/23,7/23/23,7/26/23,141,73,68,0.127926747,0.118535126,0.487130472,0.11526429,0.109594511,0.072199993,0.059314397,0.041964787,24.37,17.8,54.6,146,163.9,63.22067594,53.09381238,45.90818363,40.83665339,40.23668639,35.78528827,32.27091633,24.45328032
621034,LH206 X PHP02,7,47,1,NO,100.105,100.105,0,0.036747536,9_29_23,9/29/23,5/11/23,7/23/23,7/24/23,141,73,68,0.11704911,0.110448561,0.469124013,0.101927075,0.094825635,0.06077048,0.046917635,0.036747536,24.66,17.7,56.6,102,166.1,62.74900398,52.19123506,45.32803181,39.72055888,37.37574553,35.81780538,34.39363817,21.55688623
621035,DKC32-12RIB,7,45,1,YES,82,82,0,0.047855984,9_13_23,9/13/23,5/11/23,7/17/23,7/18/23,125,67,58,0.124108938,0.112308264,0.467878899,0.101956629,0.075068972,0.047855984,0.029589329,0.022531989,23.14,15.8,56.2,58,159.4,48.21428571,45.01992032,35.78528827,34.13173653,29.8,22.70916335,20,15.96806387
